time,temperature,power,door_open
600,-1.964546466,0.429983693,0
601,-2.04213376,0.37485307,0
602,-2.000086355,0.287760182,0
603,-2.151834645,0.300788163,0
604,-1.917954975,0.366121395,0
605,-2.011926686,0.397276183,0
606,-2.020959769,0.507653979,0
607,-2.041976478,0.210952552,0
608,-2.013066258,0.286598004,0
609,-2.08954321,0.339359148,0
610,-2.007886137,0.433887046,0
611,-2.101045534,0.576223086,0
612,-2.166317469,0.260638406,0
613,-2.214856729,0.440667272,0
614,-2.231273235,0.299097237,0
615,-2.262115065,0.374276032,0
616,-2.293240428,0.291710235,0
617,-2.176407916,0.379722614,0
618,-2.192704098,0.299836936,0
619,-2.222342647,0.485577747,0
620,-2.246974835,0.341534533,0
621,-2.32382668,0.335199359,0
622,-2.245482868,0.209104996,0
623,-2.198278667,0.365329953,0
624,-2.299285588,0.376357688,0
625,-2.258047023,0.494513294,0
626,-2.281077032,0.185948485,0
627,-2.182555684,0.132963694,0
628,-1.987685771,0.430223574,0
629,-1.74868957,0.401911235,0
630,-2.137205555,0.176664816,0
631,-2.067744549,0.156473972,0
632,-1.678181354,0.351507971,0
633,-1.797060054,0.34766706,0
634,-1.790541268,0.541840895,0
635,-1.721875921,0.380001546,0
636,-1.97626163,0.311504476,0
637,-1.892416572,0.322533864,0
638,-1.968324354,0.334039211,0
639,-1.875235134,0.416013152,0
640,-2.031097982,0.42906338,0
641,-1.886800442,0.435993302,0
642,-2.157597916,0.511060991,0
643,-2.284282893,0.387001935,0
644,-2.275268885,0.259034564,0
645,-2.198699755,0.324670698,0
646,-2.196161552,0.243197375,0
647,-2.209874351,0.268768404,0
648,-1.953032552,0.411556012,0
649,-1.969092385,0.315196069,0
650,-1.963670558,0.309905483,0
651,-1.815741329,0.476934011,0
652,-2.211578294,0.252875623,0
653,-1.899624064,0.276562466,0
654,-1.937886938,0.236845124,0
655,-1.781989782,0.334526328,0
656,-1.980026614,0.389021269,0
657,-2.033235165,0.189060822,0
658,-1.79343585,0.323946413,0
659,-1.636082449,0.436689925,0
660,-1.95254508,0.288512474,0
661,-1.739472281,0.416186609,0
662,-1.66066346,0.559432931,0
663,-2.105539713,0.396053715,0
664,-2.266459516,0.353970798,0
665,-2.073139764,0.453154998,0
666,-2.437564696,0.299989053,0
667,-2.179096057,0.27280039,0
668,-2.17782536,0.403268814,0
669,-2.185755598,0.323066713,0
670,-1.979528213,0.375884696,0
671,-2.067929555,0.409131576,0
672,-2.201180832,0.335777124,0
673,-2.272726863,0.21184349,0
674,-2.019937959,0.450036305,0
675,-2.438078677,0.390729768,0
676,-1.967071506,0.3346084,0
677,-2.247720928,0.15428198,0
678,-1.96526778,0.436247151,0
679,-1.968056098,0.442690496,0
680,-2.185660568,0.386620038,0
681,-2.132785148,0.271575102,0
682,-2.034734361,0.343291648,0
683,-2.2142896,0.369057572,0
684,-2.219941256,0.35421981,0
685,-2.138346163,0.1956965,0
686,-2.122559862,0.130120171,0
687,-1.57420891,0.278956784,0
688,-1.713781473,0.603199906,0
689,-1.886111277,0.448282713,0
690,-2.142265452,0.296471242,0
691,-2.097606541,0.390539212,1
692,-0.99614766,0.331402133,1
693,-0.09222303,0.621988271,1
694,0.560272651,0.907083413,1
695,0.839274186,1.06283959,1
696,1.03615551,0.879363555,1
697,1.237864777,0.907832005,1
698,1.756482355,1.121081802,1
699,1.839748339,1.111935879,1
700,1.735737279,1.199563949,1
701,1.639311819,1.086769984,1
702,1.758620248,0.935539213,1
703,2.081380376,0.985682449,1
704,2.177491947,1.099485502,1
705,2.088622173,1.199127004,1
706,2.112078213,1.166889743,1
707,1.817761092,1.178535182,1
708,1.924243243,1.117447965,1
709,1.968283266,1.165947235,1
710,1.996556379,1.331405203,1
711,1.719488543,1.20093371,0
712,0.964423036,0.821462879,0
713,0.226167482,0.64323605,0
714,-0.096823649,0.803764632,0
715,-0.528711942,0.384918755,0
716,-0.531437376,0.623784519,0
717,-0.713264747,0.41596698,0
718,-1.123059113,0.521597471,0
719,-1.218174204,0.561869953,0
720,-1.407984947,0.464555345,0
721,-1.396705224,0.347604351,0
722,-1.439157922,0.516795602,0
723,-1.457844738,0.526425453,0
724,-1.918023546,0.591823661,0
725,-2.158435271,0.244594429,0
726,-2.026444965,0.50499737,0
727,-2.156991711,0.365160577,0
728,-2.06937687,0.306865205,0
729,-1.97243304,0.45374609,0
730,-2.229913501,0.205207631,0
731,-2.22616134,0.343667946,0
732,-2.102471605,0.289887135,0
733,-2.069051613,0.419944469,0
734,-2.062415679,0.284807703,0
735,-2.085651061,0.220210845,0
736,-2.037931528,0.21456231,0
737,-1.906909095,0.389351586,0
738,-1.828969587,0.288711807,0
739,-1.837585122,0.271718286,0
740,-1.652863358,0.450830713,0
741,-1.974812023,0.46314319,0
742,-1.974926451,0.255071708,0
743,-1.926420365,0.369115478,0
744,-1.966737648,0.388752417,0
745,-2.038331125,0.337323029,0
746,-1.854460775,0.460943218,0
747,-2.070165706,0.414341308,0
748,-2.143671218,0.348707456,0
749,-2.156578757,0.279339336,0
750,-2.020796579,0.400186028,0
751,-1.984612856,0.308173715,0
752,-1.948702722,0.487663909,0
753,-2.270386083,0.156454819,0
754,-1.874070046,0.360227041,0
755,-1.811992604,0.489822515,0
756,-2.181180143,0.214601136,0
757,-1.974374194,0.334427714,0
758,-1.923363668,0.362136159,0
759,-2.022657032,0.436387443,0
760,-2.19739936,0.199229539,0
761,-1.944660959,0.513444928,0
762,-2.256148812,0.141490592,0
763,-1.803444139,0.471923743,0
764,-2.104738597,0.307335969,0
765,-1.958945697,0.324934984,0
766,-2.040301256,0.121389213,0
767,-1.582875249,0.379288991,0
768,-1.68208122,0.35724299,0
769,-1.690617038,0.541141194,0
770,-1.835625063,0.40368194,0
771,-2.113265981,0.289173295,0
772,-2.094175824,0.171587074,0
773,-1.9021452,0.275555301,0
774,-1.841600127,0.507667508,0
775,-1.882702853,0.345414651,0
776,-1.817286842,0.524961304,0
777,-1.984663084,0.343940681,0
778,-2.03356432,0.242496156,0
779,-1.963539414,0.439499753,0
780,-2.20117979,0.192645008,0
781,-1.825423031,0.213652461,0
782,-1.78182029,0.253039234,0
783,-1.653769778,0.279012991,0
784,-1.817545773,0.426998873,0
785,-1.733482473,0.309508746,0
786,-1.839858834,0.461583188,0
787,-1.972415513,0.386137237,0
788,-1.829495562,0.364754499,0
789,-1.7196255,0.33215798,0
790,-1.96394974,0.31081041,0
791,-1.843591186,0.40122147,0
792,-1.835493961,0.490131273,0
793,-2.068977593,0.121392634,0
794,-1.803095693,0.366971625,0
795,-1.742912673,0.367361462,0
796,-1.813300154,0.403450601,0
797,-1.842050118,0.260338402,0
798,-1.67559843,0.471752554,0
799,-2.118672099,0.334790838,0
800,-2.102490529,0.362264212,0
801,-1.900609359,0.221898567,0
802,-1.910382983,0.366767851,0
803,-1.768634996,0.115206195,0
804,-1.689854,0.388559765,0
805,-1.632364686,0.360932751,0
806,-1.61299263,0.448424618,0
807,-1.896465457,0.292060067,0
808,-1.892888669,0.537587452,0
809,-1.958372886,0.388952672,0
810,-2.095000527,0.547001205,0
811,-2.211253122,0.338005476,0
812,-2.282598609,0.350167215,0
813,-2.209307316,0.197231264,0
814,-2.065371153,0.252204752,0
815,-2.103063823,0.305221919,0
816,-1.780116591,0.271964966,0
817,-1.927345734,0.272041546,0
818,-1.799154736,0.590983981,0
819,-1.941346749,0.692388085,0
820,-2.318780221,0.077800742,0
821,-2.06887833,0.329612811,0
822,-2.075410501,0.276227635,0
823,-1.924480501,0.515783973,0
