,time,X-axis,Y-axis,X-velocity,Y-velocity,angle,angular_velocity,wind_speed,main_engine_power,left_right_engine_power
121,2016-04-08 00:02:01,-0.25431266,0.30441213,0.45824584,-0.41660178,-0.1429037,0.05907961,8.536059,0.5191159,-0.07191329
122,2016-04-08 00:02:02,-0.24967161,0.29526982,0.4617371,-0.40609887,-0.14054254,0.047223143,8.473581,0.50185156,-0.14817707
123,2016-04-08 00:02:03,-0.24495783,0.2863114,0.46936768,-0.39796466,-0.13854189,0.04001301,8.4066725,0.49203935,-0.20241337
124,2016-04-08 00:02:04,-0.24019198,0.27751625,0.47501507,-0.39075348,-0.13697961,0.031245936,8.335101,0.46752074,-0.2629692
125,2016-04-08 00:02:05,-0.23517628,0.26905084,0.49959517,-0.37605926,-0.13501269,0.039338447,8.258632,0.52220845,-0.29584938
126,2016-04-08 00:02:06,-0.22990122,0.26090634,0.5250688,-0.36175725,-0.1325846,0.048561715,8.177017,0.6025201,-0.31866384
127,2016-04-08 00:02:07,-0.22443295,0.25330985,0.5443137,-0.33739904,-0.13008058,0.05008045,8.090009,0.6477412,-0.36554587
128,2016-04-08 00:02:08,-0.21891336,0.24620648,0.5499824,-0.31553632,-0.12811686,0.039274514,7.9973545,0.7091403,-0.4199925
129,2016-04-08 00:02:09,-0.21310568,0.2394137,0.57816136,-0.30167958,-0.12552412,0.05185484,7.8988,0.80117667,-0.37354797
130,2016-04-08 00:02:10,-0.20698452,0.23315857,0.60883987,-0.2777322,-0.12226149,0.06525278,7.794091,0.89868,-0.24664728
131,2016-04-08 00:02:11,-0.20085688,0.22712925,0.61008835,-0.26775393,-0.119605154,0.053126644,7.682978,0.89497125,-0.34662598
132,2016-04-08 00:02:12,-0.19478855,0.22108549,0.6049744,-0.26846698,-0.1177566,0.03697091,7.5652175,0.8916701,-0.48733252
133,2016-04-08 00:02:13,-0.18850546,0.21550514,0.62616044,-0.2478465,-0.11562203,0.042691432,7.4405737,0.929417,-0.45334935
134,2016-04-08 00:02:14,-0.18195352,0.20997284,0.6523403,-0.2456604,-0.11279235,0.05659336,7.3088245,1.0,-0.43140614
135,2016-04-08 00:02:15,-0.17537823,0.2046703,0.65517026,-0.23549332,-0.11044673,0.046912517,7.169764,1.0,-0.53004014
